date,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,normalized_interest,CSI
2013-06-01,57.99999999999999,45.67901234567901,34.0,42.0,51.35135135135135,49.45054945054945,40.0,38.0,18.0,14.000000000000002,20.0,34.0,53.68421052631579,120.0,7.000000000000001,41.67767491159304
2013-07-01,60.0,50.617283950617285,43.0,41.0,41.891891891891895,56.043956043956044,42.0,34.0,17.0,12.0,20.0,31.0,48.421052631578945,100.0,7.000000000000001,40.26494563453628
2013-08-01,57.99999999999999,48.148148148148145,50.0,43.0,40.54054054054054,52.74725274725275,42.0,42.0,17.0,13.0,24.615384615384617,41.0,45.26315789473684,100.0,8.0,41.68763226307087
2013-09-01,55.00000000000001,46.913580246913575,54.0,38.0,37.83783783783784,46.15384615384615,41.0,48.0,17.0,16.0,29.230769230769234,40.0,53.68421052631579,100.0,8.0,42.054682933045505
2013-10-01,56.00000000000001,45.67901234567901,47.0,39.0,39.189189189189186,48.35164835164835,40.0,34.0,16.0,16.0,24.615384615384617,37.0,46.31578947368421,100.0,6.0,39.676734931705695
2013-11-01,56.00000000000001,48.148148148148145,46.0,47.0,39.189189189189186,53.84615384615385,44.0,40.0,18.0,17.0,21.53846153846154,37.0,45.26315789473684,100.0,7.000000000000001,41.3323407077793
2013-12-01,56.99999999999999,51.85185185185185,39.0,43.0,39.189189189189186,50.54945054945055,43.0,36.0,16.0,15.0,33.84615384615385,34.0,44.21052631578947,100.0,7.000000000000001,40.643144783495664
2014-01-01,55.00000000000001,46.913580246913575,42.0,42.0,40.54054054054054,50.54945054945055,43.0,38.0,16.0,15.0,21.53846153846154,34.0,44.21052631578947,100.0,7.000000000000001,39.71683727941038
2014-02-01,55.00000000000001,45.67901234567901,47.0,43.0,44.5945945945946,53.84615384615385,44.0,36.0,16.0,17.0,21.53846153846154,40.0,44.21052631578947,120.0,6.0,42.25791657604523
2014-03-01,54.0,48.148148148148145,46.0,45.0,50.0,46.15384615384615,44.0,46.0,18.0,17.0,24.615384615384617,39.0,45.26315789473684,160.0,7.000000000000001,46.01203578747438
2014-04-01,56.00000000000001,51.85185185185185,45.0,50.0,47.2972972972973,56.043956043956044,43.0,42.0,19.0,16.0,21.53846153846154,45.0,44.21052631578947,120.0,7.000000000000001,44.262806203157076
2014-05-01,56.99999999999999,55.55555555555556,45.0,52.0,48.64864864864865,57.14285714285714,44.0,44.0,18.0,18.0,21.53846153846154,39.0,45.26315789473684,200.0,7.000000000000001,50.143245385350646
2014-06-01,56.00000000000001,49.382716049382715,37.0,72.0,47.2972972972973,49.45054945054945,41.0,36.0,16.0,14.000000000000002,26.153846153846157,33.0,40.0,160.0,6.0,45.55229393007171
2014-07-01,56.99999999999999,50.617283950617285,55.00000000000001,56.99999999999999,44.5945945945946,51.64835164835166,44.0,86.0,17.0,14.000000000000002,26.153846153846157,34.0,41.05263157894737,160.0,7.000000000000001,49.671113861757135
2014-08-01,61.0,49.382716049382715,44.0,52.0,40.54054054054054,59.34065934065934,42.0,44.0,17.0,15.0,33.84615384615385,48.0,43.15789473684211,220.00000000000003,7.000000000000001,51.75119763423857
2014-09-01,56.99999999999999,45.67901234567901,47.0,45.0,43.24324324324324,56.043956043956044,40.0,44.0,17.0,23.0,44.61538461538462,68.0,42.10526315789473,180.0,7.000000000000001,50.645790627077176
2014-10-01,57.99999999999999,45.67901234567901,47.0,47.0,41.891891891891895,50.54945054945055,40.0,40.0,16.0,21.0,30.76923076923077,53.0,43.15789473684211,280.0,7.000000000000001,54.736498686206296
2014-11-01,55.00000000000001,45.67901234567901,46.0,42.0,45.94594594594595,52.74725274725275,42.0,36.0,16.0,17.0,23.076923076923077,43.0,46.31578947368421,840.0,7.000000000000001,90.51766157263233
2014-12-01,62.0,56.79012345679012,38.0,43.0,44.5945945945946,62.637362637362635,42.0,40.0,16.0,22.0,41.53846153846154,47.0,46.31578947368421,459.99999999999994,7.000000000000001,68.5917554467262
2015-01-01,55.00000000000001,53.086419753086425,41.0,48.0,40.54054054054054,59.34065934065934,44.0,36.0,17.0,31.0,60.0,47.0,45.26315789473684,380.0,7.000000000000001,64.28205183526822
2015-02-01,56.00000000000001,49.382716049382715,47.0,42.0,40.54054054054054,67.03296703296702,42.0,42.0,23.0,26.0,33.84615384615385,55.00000000000001,46.31578947368421,320.0,7.000000000000001,59.80787779618189
2015-03-01,55.00000000000001,49.382716049382715,47.0,41.0,43.24324324324324,49.45054945054945,41.0,42.0,18.0,22.0,26.153846153846157,46.0,48.421052631578945,260.0,7.000000000000001,53.04342716857336
2015-04-01,54.0,54.32098765432099,44.0,40.0,44.5945945945946,56.043956043956044,41.0,46.0,18.0,21.0,26.153846153846157,51.0,51.578947368421055,220.00000000000003,7.000000000000001,51.64615545434258
2015-05-01,55.00000000000001,50.617283950617285,44.0,38.0,44.5945945945946,52.74725274725275,44.0,44.0,19.0,19.0,23.076923076923077,45.0,52.63157894736842,200.0,7.000000000000001,49.24450888778374
2015-06-01,56.00000000000001,51.85185185185185,38.0,39.0,35.13513513513514,51.64835164835166,41.0,38.0,18.0,20.0,35.38461538461539,42.0,44.21052631578947,200.0,7.000000000000001,47.81536535571624
2015-07-01,56.00000000000001,55.55555555555556,32.0,38.0,35.13513513513514,57.14285714285714,43.0,40.0,18.0,17.0,36.92307692307693,47.0,42.10526315789473,180.0,7.000000000000001,46.99079252763463
2015-08-01,57.99999999999999,62.96296296296296,33.0,44.0,37.83783783783784,62.637362637362635,43.0,38.0,20.0,16.0,27.692307692307693,38.0,45.26315789473684,180.0,7.000000000000001,47.559575268347196
2015-09-01,57.99999999999999,49.382716049382715,46.0,39.0,37.83783783783784,52.74725274725275,39.0,40.0,18.0,17.0,27.692307692307693,49.0,49.473684210526315,160.0,7.000000000000001,46.00891990248715
2015-10-01,60.0,49.382716049382715,46.0,38.0,40.54054054054054,51.64835164835166,40.0,50.0,18.0,19.0,26.153846153846157,57.99999999999999,47.368421052631575,160.0,6.0,47.33959169631684
